"Test Number","Brand","Textile Mill","Fabric Database","Labratory","Fuze Fabric Number","Wash","Number of Washes","Test Method","Test Method (dropdown)","Test Report #","Tested Bacteria #1","Antimicrobial Result #1","Tested Bacteria","Tested Bacteria #2","Antibacterial Result #2","Written Result (Fungal Testing)","Tested Odor","Tested Metal","ICP (Ag) Result","ICP (Au) Result","Fuze Internal Report #","Date","Date (post wash)","Testing Labratory","Fuze Application Date","Report 1","Report 1 : URL","Report 2","Report 2 : URL","Report 3","Report 3 : URL","Report 4","Report 4 : URL","Image","Image : URL","Ag Serial #","Au Serial #","Fungal Serial #","Machine Type","Post Wash Report #","Ag","Record ID"
"11","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00755203","E-coli (ATCC 8739)","67%","E-coli","","","","","","","","","","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758255","1/18/19","67777cf7126ae702d825afcf"
"12","","","","","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00758255","E-coli (ATCC 8739)","53%","E-coli","","","","","","","","","","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758255","1/18/19","67777cf7126ae702d825afd5"
"13","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","​TWNC00757027","E-coli (ATCC 8739)","85%","E-coli","","","","","","","","","","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00761038","-","67777cf7126ae702d825afd9"
"14","","","","","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00761038","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00761038","-","67777cf7126ae702d825afdd"
"15","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","​TWNC00757026","E-coli (ATCC 8739)","61%","E-coli","","","","","","","","","","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf7126ae702d825afe1"
"16","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","​TWNC00757028","E-coli (ATCC 8739)","46%","E-coli","","","","","","","","","","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf7126ae702d825afe7"
"17","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","​TWNC00757023","E-coli (ATCC 8739)","34%","E-coli","","","","","","","","","","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf7126ae702d825afeb"
"18","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","​TWNC00757024","E-coli (ATCC 8739)","25%","E-coli","","","","","","","","","","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf7126ae702d825afef"
"19","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","​TWNC00757025","E-coli (ATCC 8739)","85%","E-coli","","","","","","","","HL20002","","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf8126ae702d825aff3"
"20","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00753444","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","","","","ITS TW","12/04/2018","","","","","","","","","","","","","","Tenter","-","-","67777cf8126ae702d825aff7"
"21","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00753445","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","","","","ITS TW","12/04/2018","","","","","","","","","","","","","","Tenter","-","-","67777cf8126ae702d825affd"
"22","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00753446","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","","","","ITS TW","12/04/2018","","","","","","","","","","","","","","Tenter","-","-","67777cf8126ae702d825b001"
"23","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00753447","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","CC20002","","","ITS TW","12/04/2018","","","","","","","","","","","","","","Tenter","-","-","67777cf8126ae702d825b005"
"24","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00755456","E-coli (ATCC 8739)","45%","E-coli","","","","","","","","","","","ITS TW","12/11/2018","","","","","","","","","","","","","","Tenter","-","-","67777cf8126ae702d825b009"
"25","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00755459","E-coli (ATCC 8739)","50%","E-coli","","","","","","","","","","","ITS TW","12/11/2018","","","","","","","","","","","","","","Tenter","-","-","67777cf8126ae702d825b00f"
"26","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00762062","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","01/31/2019","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf8126ae702d825b013"
"27","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00772100","E-coli (ATCC 8739)","97%","E-coli","","","","","","","","","03/13/2019","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf8126ae702d825b017"
"28","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00762060","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf8126ae702d825b01b"
"29","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00762059","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf9126ae702d825b021"
"30","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00762065","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf9126ae702d825b025"
"31","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00772099","E-coli (ATCC 8739)","98%","E-coli","","","","","","","","HL20003","","","ITS TW","12/18/2018","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf9126ae702d825b029"
"32","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00763286","E-coli (ATCC 8739)","94%","E-coli","","","","","","","","","","","ITS TW","01/16/2019","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf9126ae702d825b02d"
"33","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00764049","E-coli (ATCC 8739)","93%","E-coli","","","","","","","","KC20002","","","ITS TW","01/19/2019","","","","","","","","","","","","","","MISTI Batch","TWNC00771672","0%","67777cf9126ae702d825b033"
"34","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","SHAT05937407S1 ","E-coli (ATCC 8739)","96%","E-coli","","","","","","","","KC20002-1","","","ITS SHA","01/19/2019","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf9126ae702d825b037"
"35","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00764052","E-coli (ATCC 8739)","94%","E-coli","","","","","","","","","","","ITS TW","01/19/2019","","","","","","","","","","","","","","MISTI Batch","-","-","67777cf9126ae702d825b03b"
"36","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00764053","E-coli (ATCC 8739)","93%","E-coli","","","","","","","","KC20003","","","ITS TW","01/19/2019","","","","","","","","","","","","","","MISTI Batch","TWNC00771722","-","67777cf9126ae702d825b03f"
"37","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00784235","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","KC20003-1","","","ITS TW","01/19/2019","","","","","","","","","","","","","","MISTI Batch","TWNC00784235","-","67777cf9126ae702d825b043"
"38","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00765331","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","","","ITS TW","","","","","","","","","","","","","","","FUZE","-","-","67777cf9126ae702d825b047"
"39","","","","","","0","0 Wash","AATCC 100","AATCC 100","TWNC00766265","Staph (AATCC 6538)","0%","Staph","","","","","","","","","","","ITS TW","","","","","","","","","","","","","","","FUZE","-","-","67777cf9126ae702d825b04d"
"40","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00766939","E-coli (ATCC 8739)","48%","E-coli","","","","","","","","","","","ITS TW","01/21/2019","","","","","","","","","","","","","","FUZE","-","-","67777cf9126ae702d825b051"
"41","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00766944","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","","","ITS TW","01/22/2019","","","","","","","","","","","","","","FUZE","-","-","67777cfa126ae702d825b055"
"42","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00766945","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","","","ITS TW","01/21/2019","","","","","","","","","","","","","","FUZE","-","0.0001970%","67777cfa126ae702d825b059"
"43","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00766947","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","","","ITS TW","01/22/2019","","","","","","","","","","","","","","FUZE","-","-","67777cfa126ae702d825b05f"
"44","","","","","","10","10 Wash","AATCC 147","AATCC 147","TWNC00772761","E-coli (ATCC 8739)","","E-coli","NONE","","Inhibition of growth beneath specimen ","","","","","","","","ITS TW","","","","","","","","","","","","","","","Compactor","-","-","67777cfa126ae702d825b063"
"45","","","","","","0","0 Wash","ASTM G21","ASTM G21","TWNC00775941","Aspergillus brasiliensis (ATCC 9642) ","","Aspergillus brasiliensis (ATCC 9642) 
Penicillium funiculosum (ATCC 11797) 
Chaetomium globosum (ATCC 6205) 
Trichoderma virens (ATCC 9645)                                                 
Aureobasidium Pullulans (ATCC 15233)","Penicillium funiculosum (ATCC 11797) ","","no growth seen","","","","","","04/25/2019","","ITS TW","","","","","","","","","","","","","","","FUZE","-","-","67777cfa126ae702d825b067"
"46","","","","","","0","0 Wash","ASTM E2180","AATCC E2180","TWNC00775942","Aspergillus niger (ATCC 6275) ","68%","Aspergillus niger","","","","","","","","","","","ITS TW","","","","","","","","","","","","","","","FUZE","-","-","67777cfa126ae702d825b06b"
"47","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00773518","E-coli (ATCC 8739)","98%","E-coli","","","","","","","","HL20004","","","ITS TW","03/01/2019","","","","","","","","","","","","","","MISTI Batch","-","-","67777cfa126ae702d825b06f"
"48","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00773520","E-coli (ATCC 8739)","90%","E-coli","","","","","","","","","","","ITS TW","03/01/2019","","","","","","","","","","","","","","","-","-","67777cfa126ae702d825b075"
"49","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00775265","E-coli (ATCC 8739)","97%","E-coli","","","","","","","","","04/15/2019","","ITS TW","03/01/2019","","","","","","","","","","","","","","","","-","67777cfa126ae702d825b079"
"50","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00775266","E-coli (ATCC 8739)","94%","E-coli","","","","","","","","","04/15/2019","","ITS TW","03/01/2019","","","","","","","","","","","","","","","","-","67777cfa126ae702d825b07d"
"51","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776158","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","","04/03/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","","-","67777cfb126ae702d825b081"
"52","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00781580","E-coli (ATCC 8739)","96%","E-coli","","","","","","","","","04/23/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","","-","67777cfb126ae702d825b085"
"53","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776142","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","","04/03/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","","-","67777cfb126ae702d825b089"
"54","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776167","E-coli (ATCC 8739)","15%","E-coli","","","","","","","","","04/15/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","","-","67777cfb126ae702d825b08f"
"55","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776168","E-coli (ATCC 8739)","34%","E-coli","","","","","","","","","04/15/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","","-","67777cfb126ae702d825b093"
"56","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776170","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","","04/03/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","","-","67777cfb126ae702d825b097"
"57","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776172","E-coli (ATCC 8739)","83%","E-coli","","","","","","","","","04/15/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","","-","67777cfb126ae702d825b09b"
"58","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776173","E-coli (ATCC 8739)","58%","E-coli","","","","","","","","","04/15/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","-","-","67777cfb126ae702d825b0a1"
"59","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776174","E-coli (ATCC 8739)","36%","E-coli","","","","","","","","","04/19/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","","-","67777cfb126ae702d825b0a5"
"60","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776175","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","04/15/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","-","-","67777cfb126ae702d825b0a9"
"61","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776176","E-coli (ATCC 8739)","32%","E-coli","","","","","","","","","04/15/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","-","-","67777cfb126ae702d825b0ad"
"62","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776177","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","","04/03/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","-","-","67777cfb126ae702d825b0b3"
"63","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776178","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","","04/03/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","-","-","67777cfc126ae702d825b0b7"
"64","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00776179","E-coli (ATCC 8739)","59%","E-coli","","","","","","","","","04/15/2019","","ITS TW","02/11/2019","","","","","","","","","","","","","","Compactor","-","-","67777cfc126ae702d825b0bb"
"65","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00778490","E-coli (ATCC 8739)","82%","E-coli","","","","","","","","","05/02/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfc126ae702d825b0bf"
"66","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00784228","E-coli (ATCC 8739)","63%","E-coli","","","","","","","","","05/08/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfc126ae702d825b0c3"
"67","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00778488","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","04/10/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfc126ae702d825b0c9"
"68","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00784229","E-coli (ATCC 8739)","72%","E-coli","","","","","","","","","05/02/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfc126ae702d825b0cd"
"69","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00779015","E-coli (ATCC 8739)","66%","E-coli","","","","","","","","","04/11/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfc126ae702d825b0d1"
"70","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00784230","E-coli (ATCC 8739)","73%","E-coli","","","","","","","","","05/02/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfc126ae702d825b0d5"
"71","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00778491","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","05/02/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfc126ae702d825b0db"
"72","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00784231","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","05/02/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfc126ae702d825b0df"
"73","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00779013","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","CC20001","04/11/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfc126ae702d825b0e3"
"74","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00784233","E-coli (ATCC 8739)","92%","E-coli","","","","","","","","","05/02/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfc126ae702d825b0e7"
"75","","","","","","0","0 Wash","FZ/T 73023-2006","FZ/T 73023-2006","SL519152416983TX","E-coli (ATCC 8739)","0%","E-coli/Staph/C. Albicans","Staph (AATCC 6538)","","E-coli/Staph/C. Albicans","","","0.000","","","06/25/2019","","SGS SHA","03/19/2019","","","","","","","","","","","","","","Tenter","","","67777cfd126ae702d825b0eb"
"76","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00779016 ","E-coli (ATCC 8739)","54%","E-coli","","","","","","0.000","","","04/11/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfd126ae702d825b0f1"
"77","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00784234","E-coli (ATCC 8739)","55%","E-coli","","","","","","0.000","","","05/02/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfd126ae702d825b0f5"
"78","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00791420","E-coli (ATCC 8739)","0%","E-coli","","","","","","0.000","","","05/28/2019","","ITS TW","03/19/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfd126ae702d825b0f9"
"79","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00781589","E-coli (ATCC 8739)","98%","E-coli","","","","","","0.000","","","04/23/2019","","ITS TW","03/28/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfd126ae702d825b0fd"
"80","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00781591","E-coli (ATCC 8739)","98%","E-coli","","","","","","0.000","","TW20001","04/23/2019","","ITS TW","03/28/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfd126ae702d825b103"
"81","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00784237","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","05/02/2019","","ITS TW","03/28/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfd126ae702d825b107"
"82","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00784242","E-coli (ATCC 8739)","61%","E-coli","","","","","","0.000","","","05/02/2019","","ITS TW","03/28/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfd126ae702d825b10b"
"83","","","","","","0","0 Wash","","","TWNC00788930","E-coli (ATCC 8739)","95%","E-coli","","","","","","0.000","","","","","ITS TW","03/28/2019","","","","","","","","","","","","","","Tenter","","","67777cfd126ae702d825b10f"
"84","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00784243","E-coli (ATCC 8739)","71%","E-coli","","","","","","0.000","","","05/02/2019","","ITS TW","03/28/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfd126ae702d825b115"
"85","","","","","","0","0 Wash","","","TWNC00788931","E-coli (ATCC 8739)","82%","E-coli","","","","","","0.000","","","","","ITS TW","03/28/2019","","","","","","","","","","","","","","Tenter","","","67777cfd126ae702d825b119"
"86","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00781585","E-coli (ATCC 8739)","87%","E-coli","","","","","","0.000","","","04/23/2019","","ITS TW","03/28/2019","","","","","","","","","","","","","","Tenter","-","-","67777cfe126ae702d825b11d"
"87","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00783167","E-coli (ATCC 8739)","0%","E-coli","","","","","","0.000","","","","","ITS TW","","","","","","","","","","","","","","","FUZE","","","67777cfe126ae702d825b121"
"88","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00783170","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","","","ITS TW","","","","","","","","","","","","","","","FUZE","","","67777cfe126ae702d825b125"
"89","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00788190","E-coli (ATCC 8739)","39%","E-coli","","","","","","","","","05/29/2019","","ITS TW","","","","","","","","","","","","","","","FUZE","50 washes","","67777cfe126ae702d825b12b"
"90","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00783171","E-coli (ATCC 8739)","95%","E-coli","","","","","","0.000","","","","","ITS TW","","","","","","","","","","","","","","","Compactor","","","67777cfe126ae702d825b12f"
"91","","","","","","0","0 Wash","","","TWNC00788928","E-coli (ATCC 8739)","45%","E-coli","","","","","","0.000","","","","","ITS TW","04/29/2019","","","","","","","","","","","","","","MISTI Batch","","","67777cff126ae702d825b133"
"92","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","SHAT05986813 -","E-coli (ATCC 8739)","99%","E-coli","","","","","","9600.000","","","04/20/2019","","ITS SHA","03/01/2019","","","","","","","","","","","","","","","SHAT06001527 ","","67777d00126ae702d825b137"
"93","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00792345","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","05/27/2019","","ITS TW","05/13/2019","","","","","","","","","","","","","","FUZE","-","","67777d00126ae702d825b13d"
"94","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00792347","E-coli (ATCC 8739)","99%","E-coli","","","","","","0.000","","","05/27/2019","","ITS TW","05/13/2019","","","","","","","","","","","","","","FUZE","-","","67777d00126ae702d825b142"
"95","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00792348","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","05/27/2019","","ITS TW","05/13/2019","","","","","","","","","","","","","","FUZE","-","","67777d00126ae702d825b148"
"96","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00793448","E-coli (ATCC 8739)","0%","E-coli","","","","","","0.000","","","06/11/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d00126ae702d825b14c"
"97","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00803513","E-coli (ATCC 8739)","98%","E-coli","","","","","","0.000","","","07/10/2019","","ITS TW","06/12/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d00126ae702d825b150"
"98","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TX70111/2019/LE ","Staph (AATCC 6538)","93%","Staph","","","","","","0.000","","TLC19001","07/25/2019","","SGS TW","05/22/2019","","","","","","","","","","","","","","FUZE","","","67777d00126ae702d825b154"
"99","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TX70111/2019/LE ","Kleb (AATCC 4352)","100%","Kleb","","","","","","160.000","","TLC19001","07/25/2019","","SGS TW","05/22/2019","","","","","","","","","","","","","","FUZE","","","67777d00126ae702d825b158"
"100","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TX70110/2019/LE ","Staph (AATCC 6538)","100%","Staph","","","","","","0.000","","","07/25/2019","","SGS TW","05/22/2019","","","","","","","","","","","","","","FUZE","","","67777d01126ae702d825b15e"
